Model,Parameters,Size (MB),Depth,Epoch,Top-1 accuracy (%),Top-2 accuracy (%),Top-3 accuracy (%),Precission,Recall Sensitivity,F1 Score
EfficientNetV2L,119 M,479,55,20,95.75,98.72,99.47,0.96,0.96,0.96
VGG16,138.4 M,528,16,20,98.7,99.92,99.99,0.99,0.99,0.99
VGG19,143.7 M,549,19,20,99.25,99.99,100,0.99,0.99,0.99
EFFICIENTNETB0,5.3 M,29,132,20,98.67,99.91,100,0.99,0.99,0.99
MOBILENETV2,3.5 M,14,105,20,65.49,81.65,88.91,0.7,0.65,0.65
DENSENET201,20.2 M,80,402,20,90.21,96.73,98.4,0.92,0.9,0.89
MOBILENETV3LARGE,5.4 M,20,17,20,95.93,99,99.85,0.97,0.96,0.96
ConvNeXtXLarge,350.1 M,1310,104,20,99.15,99.94,99.99,0.99,0.99,0.99
ConvNeXtBase,88.6 M,338,39,20,98.98,99.99,100,0.99,0.99,0.99
EFFICIENTNETV2S,21.6 M,88,24,20,99.24,100,100,0.99,0.99,0.99
DenseNet169,14.3 M,57,338,20,84.33,95.57,98.54,0.88,0.84,0.83
DENSENET121,8.1 M,33,242,20,89.98,97.41,99.09,0.92,0.9,0.9
RESNET101,44.7 M,171,209,20,95.5,99.63,99.92,0.97,0.95,0.96
RESNET152,60.4 M,232,311,20,97.06,99.61,99.88,0.97,0.97,0.97
RESNET50,25.6 M,98,107,20,97.28,99.86,99.95,0.98,0.97,0.97